Ticker,Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM)
CMRE,66.16629262,59.734914,18.32845648,20.70636612
TGP,54.14199609,48.06671368,28.62025493,24.98902298
MERC,9.73398974,5.18760338,0.59018315,-0.59338431
ILPT,52.28838669,22.46747782,22.79313791,23.01009853
LYB,15.71843794,12.05790095,11.66076722,9.77869867
PMT,77.38968914,16.22886806,16.22886806,19.22239068
LAMR,52.09369747,29.11081154,20.97854525,21.21930107
DCUE,56.0818215,26.67113113,10.51381955,8.26738098
NBL,9.5737406,-0.09117848,-40.48324595,-34.46546615
ENB,29.88392444,15.69735863,13.79629443,11.47679495
ESBK,,14.91046586,14.91046586,12.43490048
KFFB,,8.74635569,8.81363534,7.39328699
DTP,16.50408438,13.22071536,10.5004362,9.25529384
RCL,33.11552609,18.8766322,17.41995301,17.15774966
AKR,26.74164492,-10.03047395,6.95614109,17.07988888
AVAL,,19.53286007,19.80470764,8.31250916
DVD,27.54824533,11.17855667,15.85188086,11.67460784
BHP,37.0677717,37.0677717,34.4304483,20.61751652
TRTN,52.16179847,46.81986946,26.60798652,24.64167986
CIG.C,22.38522285,15.72320879,17.31265771,11.55641997
UBA,46.55824836,28.664895,29.69178775,26.60822092
NVEC,79.88024477,59.89583258,67.21490799,56.41412854
RCII,35.69003076,7.23377176,8.38185038,6.5002105
SOI,52.5890925,44.89898091,44.3941958,21.0532631
COTY,58.61945722,9.21513498,-33.39965212,-33.12325764
LAZ,98.58607826,15.32638513,14.68433932,10.71322801
CIG,22.38522285,15.72320879,17.31265771,11.55641997
PHI,65.7881488,22.97209766,18.88631451,13.14897924
BSET,60.76662235,1.739267,-0.38488167,-0.42646659
WY,17.4244736,4.54684162,-3.24992371,-1.15959719
NMRK,,9.6477434,9.27438267,5.0802784
GMRE,46.31292938,13.49814168,13.49814168,12.99977475
RUTH,22.29769286,11.70511895,10.76393192,9.01787508
BDN,25.30340887,4.82466409,5.94482204,5.82828089
VICI,97.45953835,66.39654984,62.13536463,61.0153353
GFLU,7.8662002,-3.66768643,-18.20281214,-13.49486428
UMPQ,,33.58165504,33.58165504,25.35939446
FTI,18.46882047,8.11657624,-16.3633928,-17.97465151
