Ticker,Basic EPS (FY),Basic EPS (TTM),EPS Diluted (TTM),EBITDA (TTM),Gross Profit (MRQ),Gross Profit (FY),Total Revenue (FY),EPS Diluted (FY),Last Year Revenue (FY),Net Income (FY)
WEN,0.5955,0.5951,0.5821,405535000,106004000,474048000,1709002000,0.5825,1709002000,136940000
CR,2.2291,2.213,2.1542,594500000,271900000,1160100000,3283100000,2.1997,3283100000,133300000.00000001
FMBH,2.8751,2.8752,2.8691,,,,204888000,2.8692,204888000,47943000
CVS,5.0953,5.0943,5.0845,16818000000,11671000000,45329000000,256577000000,5.0797,256577000000,6629000000
CVCY,1.5984,1.5971,1.5855,,,,79636000,1.5868,79636000,21443000
AEP,3.8913,3.8918,3.88,5326200000,755400000,3957100000,15535600000,3.8786,15535600000,1921100000
NI,0.8755,0.8869,0.8823,2022600000,810700000,2956700000,5208900000,0.8724,5208900000,383100000
VST,1.878,1.8704,1.8521,3501000000,567000000,2559000000,11502000000,1.8562,11502000000,928000000
VRTS,12.5394,12.543,10.6441,171416000,115115000,451753000,569088000,10.7144,569088000,95649000
SR,3.5286,3.4543,3.4406,529600000,140200000,459900000,1949900000,3.5216,1949900000,184200000
CRH,2.3815,2.3743,2.3555,4467690000,,9206939226.30067,28125598810.8083,2.3627,28125598810.8083,1908318913.30448
SJM,4.5252,5.4787,5.477,1690900000,708200000,2771000000,7838000000,4.5252,7838000000,511800000
SMMF,2.5459,2.5471,2.5352,,,,124368000,2.534,124368000,31866000
SRE,7.3946,7.3944,7.1532,4312000000,1036000000,3241000000,10810000000,7.2864,10810000000,2198000000
PFBC,5.1595,5.161,5.161,,,,232967000,5.1595,232967000,77881000
NATI,1.231,1.234,1.2273,231525000,272063000,1003015000,1341506000,1.2216,1341506000,162151000
